;Unnamed: 0.1;Unnamed: 0;question;selections;options;options_formatted;source;value_us;value_uk;answer_us;answer_uk;# of options;question type;category;#_options;options_dict;model_answer_us;model_answer_uk;model_answer_us_option_match;model_answer_uk_option_match;uk_score;us_score;ukGT_usGT_score
10;10;10;Thinking about possible war with Iraq, would you favor or oppose your country's joining the US and other allies in military action in Iraq to end Saddam Hussein's rule?;{'United States': [0.6629213483146067, 0.33707865168539325], 'Britain': [0.43333333333333335, 0.5666666666666667]};['Favor', 'Oppose'];"(A) Favor
(B) Oppose";GAS;0,662922;0,566668;Favor;Oppose;2.0;Binary Choice;Politics;2.0;{'A': 'Favor', 'B': 'Oppose'};B;B;Oppose;Oppose;1.0;0.0;1.0
11;11;11;According to news reports, the American government has been monitoring communications, such as emails and phone calls, in the U.S. and many other countries. In your opinion, is it acceptable or unacceptable for the American government to monitor communications from...American citizens?;{'United States': [0.37755102040816324, 0.6224489795918368], 'Britain': [0.375, 0.625]};['Acceptable', 'Unacceptable'];"(A) Acceptable
(B) Unacceptable";GAS;0,622450;0,625001;Unacceptable;Unacceptable;2.0;Binary Choice;Politics;2.0;{'A': 'Acceptable', 'B': 'Unacceptable'};B;B;Unacceptable;Unacceptable;1.0;1.0;0.8780507804878049
12;12;12;How likely or unlikely do you think it is that, in the future, a cyberattack will result in the following situation? a. Public infrastructure in your country such as power grids or phone and internet systems will be damaged;{'United States': [0.45, 0.37, 0.11, 0.04, 0.01, 0.02], 'Britain': [0.36363636363636365, 0.3838383838383838, 0.16161616161616163, 0.06060606060606061, 0.0, 0.030303030303030304]};['Very likely', 'Somewhat likely', 'Somewhat unlikely', 'Very unlikely', 'Has already happened (DO NOT READ)', 'DK/Refused'];"(A) Very likely
(B) Somewhat likely
(C) Somewhat unlikely
(D) Very unlikely
(E) Has already happened (DO NOT READ)
(F) DK/Refused";GAS;0,450001;0,383839;Very likely;Somewhat likely;6.0;Likert Scale;Politics;6.0;{'A': 'Very likely', 'B': 'Somewhat likely', 'C': 'Somewhat unlikely', 'D': 'Very unlikely', 'E': 'Has already happened (DO NOT READ)', 'F': 'DK/Refused'};B;B;Somewhat likely;Somewhat likely;1.0;0.8780497804878049;0.0
13;13;13;Do you think this change in the availability of modern medicines and treatments is largely because of the way the world has become more connected or mostly for other reasons?;{'United States': [0.3958333333333333, 0.6041666666666666], 'Britain': [0.5876288659793815, 0.41237113402061853]};['Largely more connected', 'Other reasons'];"(A) Largely more connected
(B) Other reasons";GAS;0,604168;0,587630;Other reasons;Largely more connected;2.0;Likert Scale;Media & Technology;2.0;{'A': 'Largely more connected', 'B': 'Other reasons'};B;B;Other reasons;Other reasons;0.0;1.0;1.0
14;14;14;For each of the following, please tell me how news organizations in your country are doing on the issue. Would you say news organizations are doing this very well, somewhat well, not too well, or not well at all? d. reporting on the most important news events;{'United States': [0.19801980198019803, 0.40594059405940597, 0.19801980198019803, 0.18811881188118812, 0.0, 0.009900990099009901], 'Britain': [0.26, 0.48, 0.16, 0.06, 0.0, 0.04]};['Very well', 'Somewhat well', 'Not too well', 'Not well at all', 'News organizations should not do this (VOL)', 'DK/Refused'];"(A) Very well
(B) Somewhat well
(C) Not too well
(D) Not well at all
(E) News organizations should not do this (VOL)
(F) DK/Refused";GAS;0,405942;0,480001;Somewhat well;Somewhat well;6.0;Likert Scale;Media & Technology;6.0;{'A': 'Very well', 'B': 'Somewhat well', 'C': 'Not too well', 'D': 'Not well at all', 'E': 'News organizations should not do this (VOL)', 'F': 'DK/Refused'};A;A;Very well;Very well;0.896001;0.896001;1.0
15;15;15;Do you personally believe that getting a divorce is morally acceptable, morally unacceptable, or is it not a moral issue? ;{'United States': [0.3402061855670103, 0.2268041237113402, 0.3711340206185567, 0.061855670103092786], 'Britain': [0.41836734693877553, 0.09183673469387756, 0.42857142857142855, 0.061224489795918366]};['Morally acceptable', 'Morally unacceptable', 'Not a moral issue', 'Depends on the situation (VOL)'];"(A) Morally acceptable
(B) Morally unacceptable
(C) Not a moral issue
(D) Depends on the situation (VOL)";GAS;0,371135;0,428572;Not a moral issue;Not a moral issue;4.0;Likert Scale;Social Dynamics;4.0;{'A': 'Morally acceptable', 'B': 'Morally unacceptable', 'C': 'Not a moral issue', 'D': 'Depends on the situation (VOL)'};B;B;Morally unacceptable;Morally unacceptable;0.760001;0.760001;1.0
16;16;16;Please tell me whether you think the following statements apply to the United Nations or not. The United Nations… b. Promotes economic development;{'United States': [0.6262626262626263, 0.32323232323232326, 0.050505050505050504], 'Britain': [0.68, 0.29, 0.03]};['Yes', 'No', 'DK/Refused'];"(A) Yes
(B) No
(C) DK/Refused";GAS;0,626264;0,680001;Yes;Yes;3.0;Likert Scale;Politics;3.0;{'A': 'Yes', 'B': 'No', 'C': 'DK/Refused'};B;A;No;Yes;1.0;0.7307702307692309;0.7820532820512821
17;17;17;Does this statement describe your country very well, somewhat well, not too well, or not well at all? c. Most politicians are corrupt;{'United States': [0.3, 0.39, 0.17, 0.11, 0.03], 'Britain': [0.18, 0.29, 0.32, 0.18, 0.03]};['Very well', 'Somewhat well', 'Not too well', 'Not well at all', 'DK/Refused'];"(A) Very well
(B) Somewhat well
(C) Not too well
(D) Not well at all
(E) DK/Refused";GAS;0,390001;0,320001;Somewhat well;Not too well;5.0;Likert Scale;Politics;5.0;{'A': 'Very well', 'B': 'Somewhat well', 'C': 'Not too well', 'D': 'Not well at all', 'E': 'DK/Refused'};C;B;Not too well;Somewhat well;0.7820522820512821;0.7820522820512821;1.0
18;18;18;How important is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? a. there is a judicial system that treats everyone in the same way;{'United States': [0.9207920792079208, 0.04950495049504951, 0.009900990099009901, 0.009900990099009901, 0.009900990099009901], 'Britain': [0.9292929292929293, 0.06060606060606061, 0.010101010101010102, 0.0, 0.0]};['Very important', 'Somewhat important', 'Not too important', 'Not important at all', 'DK/Refused'];"(A) Very important
(B) Somewhat important
(C) Not too important
(D) Not important at all
(E) DK/Refused";GAS;0,920793;0,929294;Very important;Very important;5.0;Likert Scale;Politics;5.0;{'A': 'Very important', 'B': 'Somewhat important', 'C': 'Not too important', 'D': 'Not important at all', 'E': 'DK/Refused'};A;A;Very important;Very important;1.0;1.0;1.0
19;19;19;Do you think people should be able to say these types of things publically OR the government should be able to prevent people from saying these things in some circumstances. d. statements that call for violent protests;{'United States': [0.44, 0.51, 0.05], 'Britain': [0.22, 0.72, 0.06]};['People should be able to say these things publically', 'Government should be able to prevent people from saying these things', 'DK/Refused'];"(A) People should be able to say these things publically
(B) Government should be able to prevent people from saying these things
(C) DK/Refused";GAS;0,510001;0,720001;Government should be able to prevent people from saying these things;Government should be able to prevent people from saying these things;3.0;Binary Choice;Politics;3.0;{'A': 'People should be able to say these things publically', 'B': 'Government should be able to prevent people from saying these things', 'C': 'DK/Refused'};B;B;Government should be able to prevent people from saying these things;Government should be able to prevent people from saying these things;1.0;1.0;1.0
20;20;20;As I read another list of statements, for each one, please tell me whether you completely agree, mostly agree, mostly disagree or completely disagree with it...The state controls too much of our daily lives.;{'United States': [0.2857142857142857, 0.37755102040816324, 0.2653061224489796, 0.07142857142857142], 'Britain': [0.30927835051546393, 0.35051546391752575, 0.27835051546391754, 0.061855670103092786]};['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree'];"(A) Completely agree
(B) Mostly agree
(C) Mostly disagree
(D) Completely disagree";GAS;0,377552;0,350516;Mostly agree;Mostly agree;4.0;Likert Scale;Politics;4.0;{'A': 'Completely agree', 'B': 'Mostly agree', 'C': 'Mostly disagree', 'D': 'Completely disagree'};C;C;Mostly disagree;Mostly disagree;0.7922087922077922;0.7922087922077922;0.8023275813953489
21;21;21;Now I am going to read you a list of things that may be problems in our country.As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...People leaving our country for jobs in other countries;{'United States': [0.0989010989010989, 0.17582417582417584, 0.3516483516483517, 0.37362637362637363], 'Britain': [0.13043478260869565, 0.29347826086956524, 0.30434782608695654, 0.2717391304347826]};['Very big problem', 'Moderately big problem', 'Small problem', 'Not a problem at all'];"(A) Very big problem
(B) Moderately big problem
(C) Small problem
(D) Not a problem at all";GAS;0,373627;0,304349;Not a problem at all;Small problem;4.0;Likert Scale;Politics;4.0;{'A': 'Very big problem', 'B': 'Moderately big problem', 'C': 'Small problem', 'D': 'Not a problem at all'};A;B;Very big problem;Moderately big problem;0.6976754186046512;0.2674428604651163;1.0
22;22;22;As I read some specific policies of [American] President George W. Bush tell me if you approve or disapprove of them...Bush's decision that the U.S. should try to develop a missile defense system even if it means withdrawing from the ABM treaty;{'United States': [0.48148148148148145, 0.5185185185185185], 'Britain': [0.23255813953488372, 0.7674418604651163]};['Approve', 'Disapprove'];"(A) Approve
(B) Disapprove";GAS;0,518520;0,767443;Disapprove;Disapprove;2.0;Binary Choice;Politics;2.0;{'A': 'Approve', 'B': 'Disapprove'};B;B;Disapprove;Disapprove;1.0;1.0;1.0
23;23;23;Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...the world economic crisis.;{'United States': [0.5, 0.5], 'Britain': [0.810126582278481, 0.189873417721519]};['Approve', 'Disapprove'];"(A) Approve
(B) Disapprove";GAS;0,500001;0,810128;Approve;Approve;2.0;Binary Choice;Politics;2.0;{'A': 'Approve', 'B': 'Disapprove'};B;B;Disapprove;Disapprove;0.0;0.0;1.0
24;24;24;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...UN Secretary General Kofi Annan;{'United States': [0.12345679012345678, 0.3950617283950617, 0.1728395061728395, 0.1111111111111111, 0.19753086419753085], 'Britain': [0.325, 0.4875, 0.1125, 0.075, 0.0]};['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'Never heard of'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable
(E) Never heard of";GAS;0,395063;0,487501;Somewhat favorable;Somewhat favorable;5.0;Likert Scale;Politics;5.0;{'A': 'Very favorable', 'B': 'Somewhat favorable', 'C': 'Somewhat unfavorable', 'D': 'Very unfavorable', 'E': 'Never heard of'};B;B;Somewhat favorable;Somewhat favorable;1.0;1.0;1.0
25;25;25;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...India;{'United States': [0.10588235294117647, 0.5411764705882353, 0.23529411764705882, 0.11764705882352941, 0.0], 'Britain': [0.15476190476190477, 0.7380952380952381, 0.07142857142857142, 0.03571428571428571, 0.0]};['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'DK/Refused'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable
(E) DK/Refused";GAS;0,541177;0,738096;Somewhat favorable;Somewhat favorable;5.0;Likert Scale;Media & Technology;5.0;{'A': 'Very favorable', 'B': 'Somewhat favorable', 'C': 'Somewhat unfavorable', 'D': 'Very unfavorable', 'E': 'DK/Refused'};B;B;Somewhat favorable;Somewhat favorable;1.0;1.0;0.7916686666666667
26;26;26;In making international policy decisions, to what extent do you think the United States takes into account the interests of– a great deal, a fair amount, not too much, or not at all?;{'United States': [0.13861386138613863, 0.5148514851485149, 0.3069306930693069, 0.039603960396039604, 0.0], 'Britain': [0.06930693069306931, 0.31683168316831684, 0.45544554455445546, 0.12871287128712872, 0.0297029702970297]};['Great deal', 'Fair amount', 'Not too much', 'Not at all', 'DK/Refused'];"(A) Great deal
(B) Fair amount
(C) Not too much
(D) Not at all
(E) DK/Refused";GAS;0,514852;0,455447;Fair amount;Not too much;5.0;Likert Scale;Politics;5.0;{'A': 'Great deal', 'B': 'Fair amount', 'C': 'Not too much', 'D': 'Not at all', 'E': 'DK/Refused'};B;B;Fair amount;Fair amount;0.7916676666666667;1.0;1.0
27;27;27;What is most responsible for Muslim nations' lack of prosperity? Is it the policies of the U.S. and other western nations, the lack of democracy in the Muslim world, the lack of education in the Muslim world, Islamic fundamentalism, or corruption in the government of Muslim nations?;{'United States': [0.031578947368421054, 0.18947368421052632, 0.23157894736842105, 0.11578947368421053, 0.4, 0.031578947368421054], 'Britain': [0.07608695652173914, 0.2608695652173913, 0.18478260869565216, 0.14130434782608695, 0.32608695652173914, 0.010869565217391304]};['The policies of the U.S. and other western nations', 'Lack of democracy', 'Lack of education', 'Islamic fundamentalism', 'Corruption in the governments of Muslim nations', 'Other (VOL)'];"(A) The policies of the U.S. and other western nations
(B) Lack of democracy
(C) Lack of education
(D) Islamic fundamentalism
(E) Corruption in the governments of Muslim nations
(F) Other (VOL)";GAS;0,400001;0,326088;Corruption in the governments of Muslim nations;Corruption in the governments of Muslim nations;6.0;Multiple Choice;Politics;6.0;{'A': 'The policies of the U.S. and other western nations', 'B': 'Lack of democracy', 'C': 'Lack of education', 'D': 'Islamic fundamentalism', 'E': 'Corruption in the governments of Muslim nations', 'F': 'Other (VOL)'};E;E;Corruption in the governments of Muslim nations;Corruption in the governments of Muslim nations;1.0;1.0;1.0
28;28;28;Do you think people should be able to say these types of things publically OR the government should be able to prevent people from saying these things in some circumstances. b. statements that are offensive to minority groups;{'United States': [0.67, 0.28, 0.05], 'Britain': [0.54, 0.38, 0.08]};['People should be able to say these things publically', 'Government should be able to prevent people from saying these things', 'DK/Refused'];"(A) People should be able to say these things publically
(B) Government should be able to prevent people from saying these things
(C) DK/Refused";GAS;0,670001;0,540001;People should be able to say these things publically;People should be able to say these things publically;3.0;Binary Choice;Politics;3.0;{'A': 'People should be able to say these things publically', 'B': 'Government should be able to prevent people from saying these things', 'C': 'DK/Refused'};B;B;Government should be able to prevent people from saying these things;Government should be able to prevent people from saying these things;0.0;0.0;1.0
29;29;29;Please tell me whether the FIRST statement or the SECOND statement comes closer to your own views — even if neither is exactly right. d. Immigrants today increase the risk of terrorism in our country;{'United States': [0.38613861386138615, 0.5544554455445545, 0.019801980198019802, 0.039603960396039604], 'Britain': [0.43, 0.5, 0.03, 0.04]};['First statement', 'Second statement', 'Neither/both (DO NOT READ)', 'DK/Refused'];"(A) First statement
(B) Second statement
(C) Neither/both (DO NOT READ)
(D) DK/Refused";GAS;0,554456;0,500001;Second statement;Second statement;4.0;Likert Scale;Politics;4.0;{'A': 'First statement', 'B': 'Second statement', 'C': 'Neither/both (DO NOT READ)', 'D': 'DK/Refused'};B;B;Second statement;Second statement;1.0;1.0;1.0
30;30;30;As I read some proposed policies of President Donald Trump, please tell me if you approve or disapprove of each one. d. withdraw U.S. support for major trade agreements;{'United States': [0.38, 0.57, 0.05], 'Britain': [0.17, 0.72, 0.11]};['Approve', 'Disapprove', 'DK/Refused'];"(A) Approve
(B) Disapprove
(C) DK/Refused";GAS;0,570001;0,720001;Disapprove;Disapprove;3.0;Likert Scale;Politics;3.0;{'A': 'Approve', 'B': 'Disapprove', 'C': 'DK/Refused'};B;B;Disapprove;Disapprove;1.0;1.0;1.0
31;31;31;Here are some reasons given for using military force against Iraq. As I read a reason, tell me if it is a very important, fairly important, or not important reason to justify the use of military force against Iraq.If we learned that Iraq helped the terrorists attack the United States on September 11th, would that be a very important reason, fairly important reason, or not important reason to justify the use of military force against Iraq?;{'United States': [0.8556701030927835, 0.10309278350515463, 0.041237113402061855], 'Britain': [0.5729166666666666, 0.3125, 0.11458333333333333]};['Very important reason', 'Fairly important reason', 'Not important reason'];"(A) Very important reason
(B) Fairly important reason
(C) Not important reason";GAS;0,855671;0,572918;Very important reason;Very important reason;3.0;Likert Scale;Politics;3.0;{'A': 'Very important reason', 'B': 'Fairly important reason', 'C': 'Not important reason'};A;A;Very important reason;Very important reason;1.0;1.0;1.0
32;32;32;If Iran were to develop nuclear weapons, do you think they would be likely to...use them for defensive purposes only, or not?;{'United States': [0.27586206896551724, 0.7241379310344828], 'Britain': [0.4457831325301205, 0.5542168674698795]};['Yes, likely', 'No, not likely'];"(A) Yes, likely
(B) No, not likely";GAS;0,724139;0,554218;No, not likely;No, not likely;2.0;Binary Choice;Politics;2.0;{'A': 'Yes, likely', 'B': 'No, not likely'};B;B;No, not likely;No, not likely;1.0;1.0;1.0
33;33;33;Why do you think the US is conducting the war on terrorism? Is...To protect Israel...an important reason why the US is doing this or not?;{'United States': [0.42391304347826086, 0.5760869565217391], 'Britain': [0.4835164835164835, 0.5164835164835165]};['Yes', 'No'];"(A) Yes
(B) No";GAS;0,576088;0,516485;No;No;2.0;Binary Choice;Politics;2.0;{'A': 'Yes', 'B': 'No'};B;B;No;No;1.0;1.0;1.0
34;34;34;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...the European Union;{'United States': [0.07920792079207921, 0.5346534653465347, 0.25742574257425743, 0.0891089108910891, 0.039603960396039604], 'Britain': [0.2, 0.33, 0.23, 0.19, 0.05]};['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'DK/Refused'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable
(E) DK/Refused";GAS;0,534654;0,330001;Somewhat favorable;Somewhat favorable;5.0;Likert Scale;Politics;5.0;{'A': 'Very favorable', 'B': 'Somewhat favorable', 'C': 'Somewhat unfavorable', 'D': 'Very unfavorable', 'E': 'DK/Refused'};B;B;Somewhat favorable;Somewhat favorable;1.0;1.0;1.0
35;35;35;Thinking about the public as a whole, do you think this country is now more UNITED or more DIVIDED than before the coronavirus outbreak?;{'United States': [0.1, 0.88, 0.02], 'Britain': [0.42, 0.54, 0.04]};['More united', 'More divided', 'DK/Refused'];"(A) More united
(B) More divided
(C) DK/Refused";GAS;0,880001;0,540001;More divided;More divided;3.0;Likert Scale;Politics;3.0;{'A': 'More united', 'B': 'More divided', 'C': 'DK/Refused'};B;B;More divided;More divided;1.0;1.0;0.0
36;36;36;How much of a danger is the current government in...North Korea to stability in Asia and world peace? A great danger, moderate danger, small danger, or no danger at all?;{'United States': [0.39080459770114945, 0.41379310344827586, 0.13793103448275862, 0.05747126436781609], 'Britain': [0.25675675675675674, 0.5135135135135135, 0.20270270270270271, 0.02702702702702703]};['A great danger', 'Moderate danger', 'Small danger', 'No danger at all'];"(A) A great danger
(B) Moderate danger
(C) Small danger
(D) No danger at all";GAS;0,413794;0,513515;Moderate danger;Moderate danger;4.0;Likert Scale;Economy;4.0;{'A': 'A great danger', 'B': 'Moderate danger', 'C': 'Small danger', 'D': 'No danger at all'};B;B;Moderate danger;Moderate danger;1.0;1.0;1.0
37;37;37;Do you approve or disapprove of the United States conducting missile strikes from pilotless aircraft called drones to target extremists in countries such as Pakistan, Yemen and Somalia? ;{'United States': [0.5591397849462365, 0.44086021505376344], 'Britain': [0.358695652173913, 0.6413043478260869]};['Approve', 'Disapprove'];"(A) Approve
(B) Disapprove";GAS;0,559141;0,641305;Approve;Disapprove;2.0;Binary Choice;Politics;2.0;{'A': 'Approve', 'B': 'Disapprove'};B;B;Disapprove;Disapprove;1.0;0.0;1.0
